date_fetched,season,entity,stat_group,timeframe,split_code,split_description,split_menu,airOuts,atBats,atBatsPerHomeRun,avg,babip,baseOnBalls,catchersInterference,caughtStealing,caughtStealingPercentage,doubles,gamesPlayed,groundIntoDoublePlay,groundOuts,groundOutsToAirouts,hitByPitch,hits,homeRuns,intentionalWalks,leagueAbbrev,leagueName,leagueShortName,leftOnBase,numberOfPitches,obp,ops,plateAppearances,rank,rbi,runs,sacBunts,sacFlies,shortName,slg,stolenBasePercentage,stolenBases,strikeOuts,teamAbbrev,teamId,teamName,teamShortName,totalBases,triples,type,year
2026-08-10T21:33:44-04:00,2026,team,hitting,ytd,,,,1100,4113,24.05,.251,.290,424,3,29,.182,209,120,72,1025,0.93,57,1034,171,13,NL,National League,National,800,17688,.328,.767,4639,1,614,643,14,28,Washington,.439,.818,130,996,WSH,120,Washington Nationals,Nationals,1806,25,team,2026
2026-08-10T21:33:44-04:00,2026,team,hitting,ytd,,,,1137,3977,26.34,.260,.301,443,3,16,.262,190,118,99,929,0.82,41,1036,151,24,NL,National League,National,824,17770,.338,.766,4515,2,556,591,12,39,LA Dodgers,.428,.738,45,926,LAD,119,Los Angeles Dodgers,Dodgers,1703,12,team,2026
2026-08-10T21:33:44-04:00,2026,team,hitting,ytd,,,,1172,4095,27.67,.250,.296,508,1,17,.162,200,119,77,914,0.78,62,1022,148,17,NL,National League,National,931,18642,.339,.756,4702,3,577,614,5,31,Chi Cubs,.417,.838,88,1023,CHC,112,Chicago Cubs,Cubs,1706,20,team,2026
2026-08-10T21:33:44-04:00,2026,team,hitting,ytd,,,,1089,4016,29.97,.256,.308,361,0,32,.286,217,118,67,934,0.86,60,1029,134,7,NL,National League,National,793,16771,.324,.746,4492,4,545,568,15,40,Colorado,.422,.714,80,1019,COL,115,Colorado Rockies,Rockies,1696,24,team,2026
2026-08-10T21:33:44-04:00,2026,team,hitting,ytd,,,,1001,4150,28.62,.256,.317,436,3,20,.163,187,120,91,984,0.98,63,1064,145,8,NL,National League,National,887,18315,.334,.746,4686,4,576,602,6,28,Pittsburgh,.412,.837,103,1135,PIT,134,Pittsburgh Pirates,Pirates,1710,12,team,2026
2026-08-10T21:33:44-04:00,2026,team,hitting,ytd,,,,1114,4014,24.93,.245,.282,402,2,16,.296,179,119,87,989,0.89,57,983,161,29,AL,American League,American,817,17534,.321,.736,4516,6,523,550,15,26,Houston,.415,.704,38,969,HOU,117,Houston Astros,Astros,1665,10,team,2026
2026-08-10T21:33:44-04:00,2026,team,hitting,ytd,,,,954,3980,36.51,.253,.307,489,7,36,.235,211,118,72,1101,1.15,29,1006,109,22,NL,National League,National,878,18192,.337,.735,4564,7,554,585,29,30,Milwaukee,.398,.765,117,978,MIL,158,Milwaukee Brewers,Brewers,1584,20,team,2026
2026-08-10T21:33:44-04:00,2026,team,hitting,ytd,,,,1123,4032,25.36,.249,.287,350,3,19,.250,189,119,58,982,0.87,48,1005,159,9,NL,National League,National,776,17367,.314,.733,4474,8,558,581,6,35,Atlanta,.419,.750,57,963,ATL,144,Atlanta Braves,Braves,1689,9,team,2026
2026-08-10T21:33:44-04:00,2026,team,hitting,ytd,,,,1093,3958,32.98,.251,.300,399,1,38,.235,195,119,69,961,0.88,62,993,120,9,NL,National League,National,827,17044,.326,.731,4475,9,503,524,18,37,Miami,.405,.765,124,966,MIA,146,Miami Marlins,Marlins,1602,27,team,2026
2026-08-10T21:33:44-04:00,2026,team,hitting,ytd,,,,1086,3911,32.87,.259,.299,383,3,38,.247,168,117,88,1041,0.96,44,1011,119,18,AL,American League,American,816,16704,.329,.731,4406,9,494,519,34,31,Tampa Bay,.402,.753,116,838,TB,139,Tampa Bay Rays,Rays,1574,19,team,2026
2026-08-10T21:33:44-04:00,2026,team,hitting,ytd,,,,1194,3988,27.69,.244,.289,423,5,17,.327,179,118,69,846,0.71,44,972,144,7,AL,American League,American,832,17700,.320,.729,4502,11,514,539,6,36,Detroit,.409,.673,35,1018,DET,116,Detroit Tigers,Tigers,1631,24,team,2026
2026-08-10T21:33:44-04:00,2026,team,hitting,ytd,,,,1187,4031,28.39,.243,.284,393,0,30,.294,191,120,72,937,0.79,65,981,142,7,AL,American League,American,803,17547,.318,.723,4531,12,529,557,6,35,Minnesota,.405,.706,72,968,MIN,142,Minnesota Twins,Twins,1634,18,team,2026
2026-08-10T21:33:44-04:00,2026,team,hitting,ytd,,,,1023,3924,25.82,.237,.285,401,2,30,.306,180,117,52,957,0.94,70,930,152,16,AL,American League,American,782,17139,.317,.722,4450,13,531,557,24,29,Chi White Sox,.405,.694,68,1067,CWS,145,Chicago White Sox,White Sox,1588,11,team,2026
2026-08-10T21:33:44-04:00,2026,team,hitting,ytd,,,,1069,3941,33.40,.248,.297,366,2,33,.268,212,118,75,994,0.93,70,977,118,8,AL,American League,American,800,16954,.320,.721,4444,14,500,524,26,39,Boston,.401,.732,90,966,BOS,111,Boston Red Sox,Red Sox,1579,18,team,2026
2026-08-10T21:33:44-04:00,2026,team,hitting,ytd,,,,1043,3910,23.41,.230,.273,434,4,34,.234,175,118,69,917,0.88,27,900,167,16,AL,American League,American,745,17580,.309,.720,4408,15,505,531,6,27,NY Yankees,.411,.766,111,1083,NYY,147,New York Yankees,Yankees,1606,15,team,2026
2026-08-10T21:33:44-04:00,2026,team,hitting,ytd,,,,1068,3924,29.28,.244,.293,377,1,15,.205,172,118,82,941,0.88,55,958,134,7,AL,American League,American,812,16965,.317,.717,4402,16,472,489,21,24,Texas,.400,.795,58,1002,TEX,140,Texas Rangers,Rangers,1570,19,team,2026
2026-08-10T21:33:44-04:00,2026,team,hitting,ytd,,,,1007,4008,28.84,.243,.292,393,1,23,.271,182,118,90,1037,1.03,52,974,139,18,AL,American League,American,826,17105,.317,.715,4492,17,489,510,17,21,Athletics,.398,.729,62,1028,ATH,133,Athletics,Athletics,1595,11,team,2026
2026-08-10T21:33:44-04:00,2026,team,hitting,ytd,,,,1139,4014,30.64,.249,.291,309,0,15,.221,200,118,68,1001,0.88,39,1000,131,14,NL,National League,National,798,17049,.307,.715,4418,17,466,485,22,34,San Francisco,.408,.779,53,930,SF,137,San Francisco Giants,Giants,1639,23,team,2026
2026-08-10T21:33:44-04:00,2026,team,hitting,ytd,,,,1051,3930,28.48,.234,.286,460,2,27,.297,173,119,83,912,0.87,43,920,138,13,AL,American League,American,808,17883,.319,.711,4480,19,510,529,15,30,Baltimore,.392,.703,64,1092,BAL,110,Baltimore Orioles,Orioles,1541,17,team,2026
2026-08-10T21:33:44-04:00,2026,team,hitting,ytd,,,,1208,3987,33.22,.245,.288,366,0,25,.217,216,119,71,929,0.77,41,977,120,10,AL,American League,American,806,16929,.312,.710,4453,20,469,492,20,39,Kansas City,.398,.783,90,932,KC,118,Kansas City Royals,Royals,1585,16,team,2026
2026-08-10T21:33:44-04:00,2026,team,hitting,ytd,,,,1167,3987,34.97,.242,.280,396,2,18,.191,204,119,71,1052,0.90,42,965,114,11,NL,National League,National,810,17659,.314,.708,4493,21,510,537,28,38,Arizona,.394,.809,76,869,AZ,109,Arizona Diamondbacks,D-backs,1569,29,team,2026
2026-08-10T21:33:44-04:00,2026,team,hitting,ytd,,,,1078,4009,26.91,.238,.280,373,3,15,.140,165,120,73,994,0.92,51,953,149,13,NL,National League,National,792,17450,.308,.708,4484,21,512,531,8,40,Philadelphia,.400,.860,92,1032,PHI,143,Philadelphia Phillies,Phillies,1603,19,team,2026
